Page,URL,Disclosure,Affiliate Links,rel=sponsored,Compliant
Dog Toys,pethubonline.com/dog-toys/,YES,18,18,YES
Dog Beds,pethubonline.com/dog-beds/,YES,18,18,YES
Dog Collars & Leashes,pethubonline.com/dog-collars-leashes/,YES,18,18,YES
Dog Bowls & Feeding,pethubonline.com/dog-bowls-feeding/,YES,16,16,YES
Dog Grooming,pethubonline.com/dog-grooming/,YES,6,6,YES
Dog Health & Care,pethubonline.com/dog-health-care/,YES,5,5,YES
Dog Training & Behaviour,pethubonline.com/dog-training-behaviour/,YES,5,5,YES
Dog Supplies,pethubonline.com/dog-supplies/,YES,0,0,YES
Cat Beds,pethubonline.com/cat-beds/,YES,18,18,YES
Cat Collars,pethubonline.com/cat-collars/,YES,8,8,YES
Cat Grooming,pethubonline.com/cat-grooming/,YES,8,8,YES
Cat Litter Trays,pethubonline.com/cat-litter-trays/,YES,6,6,YES
Cat Scratching Posts,pethubonline.com/cat-scratching-posts/,YES,6,6,YES
Cat Toys,pethubonline.com/cat-toys/,YES,5,5,YES
Cat Supplies,pethubonline.com/cat-supplies/,YES,0,0,YES
