Page Name,URL,Disclosure Present,Content Length,Total Affiliate Links,Links with rel=sponsored,Links with target=_blank,Fully Compliant,Sample Link (first affiliate link with rel),Duplicate Tracking
Cat Litter Trays,https://pethubonline.com/cat-litter-trays/,YES,80337,8,6,6,NO: 2 links missing full rel attrs; 2 links missing target=_blank,"<a href=""https://pethubonline.com/affiliate-disclosure/"" style=""color:#0073aa;"">...</a>",None
Cat Scratching Posts,https://pethubonline.com/cat-scratching-posts/,YES,79833,8,6,6,NO: 2 links missing full rel attrs; 2 links missing target=_blank,"<a href=""https://pethubonline.com/affiliate-disclosure/"" style=""color:#0073aa;"">...</a>",None
Cat Collars,https://pethubonline.com/cat-collars/,YES,83708,10,8,8,NO: 2 links missing full rel attrs; 2 links missing target=_blank,"<a href=""https://pethubonline.com/affiliate-disclosure/"" style=""color:#0073aa;"">...</a>",None
Cat Grooming,https://pethubonline.com/cat-grooming/,YES,82293,10,8,8,NO: 2 links missing full rel attrs; 2 links missing target=_blank,"<a href=""https://pethubonline.com/affiliate-disclosure/"" style=""color:#0073aa;"">...</a>",None
Cat Beds,https://pethubonline.com/cat-beds/,YES,107200,20,18,18,NO: 2 links missing full rel attrs; 2 links missing target=_blank,"<a href=""https://pethubonline.com/affiliate-disclosure/"" style=""color:#0073aa;"">...</a>",None
Cookie Policy,https://pethubonline.com/cookie-policy/,NO,6455,0,0,0,N/A (no affiliate links),,None
Dog Health & Care,https://pethubonline.com/dog-health-care/,YES,111975,7,5,5,NO: 2 links missing full rel attrs; 2 links missing target=_blank,"<a href=""https://pethubonline.com/affiliate-disclosure/"" style=""color:#0073aa;"">...</a>",None
Dog Training & Behaviour,https://pethubonline.com/dog-training-behaviour/,YES,118574,7,5,5,NO: 2 links missing full rel attrs; 2 links missing target=_blank,"<a href=""https://pethubonline.com/affiliate-disclosure/"" style=""color:#0073aa;"">...</a>",None
Dog Bowls & Feeding,https://pethubonline.com/dog-bowls-feeding/,YES,99859,18,16,16,NO: 2 links missing full rel attrs; 2 links missing target=_blank,"<a href=""https://pethubonline.com/affiliate-disclosure/"" style=""color:#0073aa;"">...</a>",None
Cat Supplies,https://pethubonline.com/cat-supplies/,YES,59148,1,0,0,NO: 1 links missing full rel attrs; 1 links missing target=_blank,"<a href=""https://pethubonline.com/affiliate-disclosure/"" style=""color:#0073aa;"">...</a>",None
Cat Toys,https://pethubonline.com/cat-toys/,YES,102166,7,5,5,NO: 2 links missing full rel attrs; 2 links missing target=_blank,"<a href=""https://pethubonline.com/affiliate-disclosure/"" style=""color:#0073aa;"">...</a>",None
Dog Collars &amp; Leashes,https://pethubonline.com/dog-collars-leashes/,YES,109133,20,18,18,NO: 2 links missing full rel attrs; 2 links missing target=_blank,"<a href=""https://pethubonline.com/affiliate-disclosure/"" style=""color:#0073aa;"">...</a>",None
Dog Grooming,https://pethubonline.com/dog-grooming/,YES,111281,8,6,6,NO: 2 links missing full rel attrs; 2 links missing target=_blank,"<a href=""https://pethubonline.com/affiliate-disclosure/"" style=""color:#0073aa;"">...</a>",None
Dog Beds,https://pethubonline.com/dog-beds/,YES,112300,20,18,18,NO: 2 links missing full rel attrs; 2 links missing target=_blank,"<a href=""https://pethubonline.com/affiliate-disclosure/"" style=""color:#0073aa;"">...</a>",None
Dog Toys,https://pethubonline.com/dog-toys/,YES,108770,20,18,18,NO: 2 links missing full rel attrs; 2 links missing target=_blank,"<a href=""https://pethubonline.com/affiliate-disclosure/"" style=""color:#0073aa;"">...</a>",None
Affiliate Disclosure,https://pethubonline.com/affiliate-disclosure/,NO,4832,0,0,0,N/A (no affiliate links),,None
Terms and Conditions,https://pethubonline.com/terms-and-conditions/,NO,7647,0,0,0,N/A (no affiliate links),,None
Privacy Policy,https://pethubonline.com/privacy-policy/,NO,6864,0,0,0,N/A (no affiliate links),,None
Dog Supplies,https://pethubonline.com/dog-supplies/,YES,59753,1,0,0,NO: 1 links missing full rel attrs; 1 links missing target=_blank,"<a href=""https://pethubonline.com/affiliate-disclosure/"" style=""color:#0073aa;"">...</a>",None
About Us,https://pethubonline.com/about-us/,NO,20642,0,0,0,N/A (no affiliate links),,None
Blog,https://pethubonline.com/blog/,NO,22272,0,0,0,N/A (no affiliate links),,None
Contact Pet Hub Online,https://pethubonline.com/contact-pet-hub-online/,NO,5519,0,0,0,N/A (no affiliate links),,None
Pet Hub Online – Pet Supplies Online,https://pethubonline.com/,YES,81225,6,4,4,NO: 2 links missing full rel attrs; 2 links missing target=_blank,"<a href=""https://pethubonline.com/affiliate-disclosure/"" style=""color:#0073aa;"">...</a>",None
Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,https://pethubonline.com/2026/04/27/essential-cat-supplies-for-cat-owners/,YES,12911,2,1,1,NO: 1 links missing full rel attrs; 1 links missing target=_blank,"<a href=""https://pethubonline.com/affiliate-disclosure/"" style=""color:#0073aa;"">...</a>",None
Top Dog Toys Every Pet Owner Needs in 2026,https://pethubonline.com/2026/04/23/top-dog-toys-every-pet-owner-needs-in-2026/,NO,3686,0,0,0,N/A (no affiliate links),,None
