#,Question,Command Matched,Confidence,Read Only,Creates Tasks,Requires Approval,Write Actions,Answer (truncated to 300 chars)
1,"show active missions",list_missions,0.95,YES,NO,NO,NONE,"There are 6 missions: [ACTIVE] Dog Food Authority Expansion (priority: high, progress: 0.0%, confidence: 78.5%) [ACTIVE] Dog Harness Commercial Opportunity (priority: high, progress: 12.0%, confidence: 72.3%) [ACTIVE] Pet Insurance Trust Buildout (priority: high, progress: 12.0%, confidence: 55"
2,"what mission matters most?",highest_priority,0.92,YES,NO,NO,NONE,"The highest priority mission is 'Dog Food Authority Expansion' (priority: high, confidence: 78.5%, progress: 0.0%). Next action: Finalise hub page outline and begin drafting Best Dry Dog Food UK page with full evidence methodology."
3,"what should we publish next?",next_publish,0.90,YES,NO,NO,NONE,"Next to publish: 'Dog Insurance UK Brief' Mission: Pet Insurance Trust Buildout Type: content_brief, Priority: critical, Confidence: 91.7% Assigned to: social_agent"
4,"what is blocking Dog Food authority?",blockers,0.85,YES,NO,NO,NONE,"Blockers for 'Dog Food Authority Expansion': Milestone pending: Hub page research & outline approved (status: pending) Milestone pending: Core comparison pages drafted (dry, wet, puppy, senior) (status: pending) Milestone pending: Evidence & testing methodology documented (status: pending) Milestone p"
5,"what content does the Dog Food mission need?",content_needs,0.88,YES,NO,NO,NONE,"Content needed for 'Dog Food Authority Expansion': Content Assets (8): Dog Food Hub Page, Best Dry Dog Food UK, Best Wet Dog Food UK, Best Puppy Food UK, Best Senior Dog Food UK, Dog Food Ingredient Guide UK, Dry vs Wet Dog Food UK, Sensitive Stomach Dog Food UK. Evidence Assets (4): Ingredient analysi"
6,"what has improved this week?",progress,0.93,YES,NO,NO,NONE,"Progress across 6 missions: Average progress: 11.8% Average confidence: 65.2%. Dog Food Authority Expansion: 0.0% complete (confidence: 78.5%, phase: planning) Dog Harness Commercial Opportunity: 12.0% complete (confidence: 72.3%, phase: planning) Pet Insurance Trust Buildout: 12.0% complete (confid"
7,"which mission has highest ROI?",highest_roi,0.88,YES,NO,NO,NONE,"Highest ROI mission: 'Dog Food Authority Expansion' Expected impact: Projected 35% organic traffic increase to dog food cluster within 6 months, establishing dominant topical authority and driving consistent affiliate revenue. Confidence: 78.5%, Risk: medium Status: active, Progress: 0.0%"
8,"which mission has highest risk?",highest_risk,0.90,YES,NO,NO,NONE,"Highest risk mission: 'Pet Insurance Trust Buildout' Risk level: high Approval status: red_flag Confidence: 55.0% Next action: Await red-flag approval from business owner before proceeding."
9,"create next action plan",action_plan,0.91,YES,NO,NO,NONE,"Prioritised Action Plan: 1. [HIGH] Dog Food Authority Expansion: Finalise hub page outline and begin drafting Best Dry Dog Food UK page with full evidence methodology. 2. [HIGH] Dog Harness Commercial Opportunity: Complete keyword gap analysis and draft hub page structure. 3. [HIGH] Pet Insurance Trust"
10,"summarize mission progress",progress,0.93,YES,NO,NO,NONE,"Progress across 6 missions: Average progress: 11.8% Average confidence: 65.2%. Dog Food Authority Expansion: 0.0% complete (confidence: 78.5%, phase: planning) Dog Harness Commercial Opportunity: 12.0% complete (confidence: 72.3%, phase: planning) Pet Insurance Trust Buildout: 12.0% complete (confid"
