Entry ID,Product Name,Brand,Category,ASIN/URL,Linked Pages,Evidence Status,Price Verified,Rating Verified,Stock Verified,Image Sourced,Approval Status,Key Risk Flags,Last Checked,Notes
PE-001,Royal Canin Medium Adult,Royal Canin,dry_dog_food,pending_verification,"Hub ID 3715, Dry ID 3717",partial,not_verified,not_verified,not_verified,not_sourced,blocked_pending_evidence,"No firsthand testing; price may be outdated; affiliate link not verified",2026-05-26,"Well-known brand but no independent verification of any specific claims by PetHub"
PE-002,James Wellbeloved Adult Dog Lamb & Rice,James Wellbeloved,dry_dog_food,pending_verification,"Hub ID 3715, Dry ID 3717",partial,not_verified,not_verified,not_verified,not_sourced,blocked_pending_evidence,"Hypoallergenic claims need attribution; no firsthand testing",2026-05-26,"Hypoallergenic claims are manufacturer's own - not independently verified"
PE-003,Lily's Kitchen Adult Chicken & Duck Dry Food,Lily's Kitchen,dry_dog_food,pending_verification,"Hub ID 3715, Dry ID 3717",partial,not_verified,not_verified,not_verified,not_sourced,blocked_pending_evidence,"Premium pricing fluctuates; natural/organic claims need attribution",2026-05-26,"Popular premium UK brand. Natural/organic claims must be attributed to manufacturer"
PE-004,Forthglade Complete Meal Adult Chicken,Forthglade,wet_dog_food,pending_verification,"Hub ID 3715, DryVsWet ID 3719",partial,not_verified,not_verified,not_verified,not_sourced,blocked_pending_evidence,"Wet food formulations may change; no firsthand testing",2026-05-26,"UK wet food brand from Devon. Recipes can change without notice - verify against current packaging"
PE-005,Butcher's Nourishing Food for Dogs,Butcher's,wet_dog_food,pending_verification,DryVsWet ID 3719,partial,not_verified,not_verified,not_verified,not_sourced,blocked_pending_evidence,"Budget claims need comparative data; exact variant must be specified",2026-05-26,"Budget wet food brand. Do not claim 'best value' without actual comparative price data"
PE-006,Royal Canin Puppy Medium,Royal Canin,puppy_food,pending_verification,Puppy ID 3720,partial,not_verified,not_verified,not_verified,not_sourced,blocked_pending_evidence,"Puppy food - heightened accuracy responsibility; vet recommendation claims need verification",2026-05-26,"Vet practice availability does not constitute independent endorsement. Verify against FEDIAF standards"
PE-007,Burns Puppy Original Chicken & Rice,Burns Pet Nutrition,puppy_food,pending_verification,Puppy ID 3720,partial,not_verified,not_verified,not_verified,not_sourced,blocked_pending_evidence,"Puppy food sensitivity; health claims need attribution",2026-05-26,"Welsh brand with 30+ year history. Sensitive stomach claims must be attributed to manufacturer"
PE-008,Orijen Puppy,Orijen,puppy_food,pending_verification,Puppy ID 3720,pending_review,not_verified,not_verified,not_verified,not_sourced,blocked_pending_evidence,"High-protein controversy; biologically appropriate is marketing term; premium import pricing",2026-05-26,"Canadian-made premium brand. High protein may not suit all breeds. Biologically appropriate is marketing not regulated standard"
PE-009,Harringtons Complete Dry Dog Food Chicken & Rice,Harringtons,dry_dog_food,pending_verification,"Hub ID 3715, Dry ID 3717, DryVsWet ID 3719",partial,not_verified,not_verified,not_verified,not_sourced,blocked_pending_evidence,"Budget claims need comparative data; complete/balanced claims need FEDIAF verification",2026-05-26,"Popular UK budget brand. Do not claim 'best budget' without actual comparative price analysis"
PE-010,Lily's Kitchen Puppy Recipe Chicken & Salmon,Lily's Kitchen,puppy_food,pending_verification,Puppy ID 3720,pending_review,not_verified,not_verified,not_verified,not_sourced,blocked_pending_evidence,"Puppy food sensitivity; premium pricing fluctuates; natural/organic claims need attribution",2026-05-26,"Premium puppy food. Natural/organic claims must be attributed to manufacturer. Verify DHA/omega content claims"
